study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Police ,0,0,0,2.005208333,1.1411028,,,,,,,,,,,,0,0,0,12,,,,,0.041473,,0.0112168,0.041473,0.041473,1.1682648,2.005208333,1.1411028,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
Chart,1,1,0,2.005208333,1.3938726,,,,,,,,,,,,0,1,1,6,,,,,1.1864468,,1.1752309,1.1864468,1.1864468,2.5843172,2.005208333,1.3938726,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
board,2,2,0,2.005208333,0.4968768,,,,,,,,,,,,0,2,2,4,,,,,2.5998284,,2.5886857,2.5998284,2.5998284,3.1028157,2.005208333,0.4968768,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
phone ,3,3,0,2.005208333,0.5755212,,,,,,,,,,,,0,3,3,2,,,,,3.1209251,,3.1099899,3.1209251,3.1209251,3.7015295,2.005208333,0.5755212,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
cushion,4,4,0,2.005208333,0.4461709,,,,,,,,,,,,0,4,4,1,,,,,3.7171832,,3.7067439,3.7171832,3.7171832,4.1684365,2.005208333,0.4461709,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
Case,5,5,0,2.005208333,0.5527466,,,,,,,,,,,,0,5,5,10,,,,,4.187136,,4.1732991,4.187136,4.187136,4.7360741,2.005208333,0.5527466,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
Keys,6,6,0,2.005208333,0.3765967,,,,,,,,,,,,0,6,6,13,,,,,4.7514246,,4.741237,4.7514246,4.7514246,5.1347366,2.005208333,0.3765967,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
mouse,7,7,0,2.005208333,0.4457859,,,,,,,,,,,,0,7,7,8,,,,,5.1528735,,5.1397581,5.1528735,5.1528735,5.6013678,2.005208333,0.4457859,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
marble,8,8,0,2.005208333,0.3807457,,,,,,,,,,,,0,8,8,3,,,,,5.616558,,5.6051479,5.616558,5.616558,6.0013614,2.005208333,0.3807457,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
Crusie,9,9,0,2.005208333,0.3800635,,,,,,,,,,,,0,9,9,11,,,,,6.0165204,,6.0052536,6.0165204,6.0165204,6.4011948,2.005208333,0.3800635,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
book,10,10,0,2.005208333,0.3807419,,,,,,,,,,,,0,10,10,0,,,,,6.4166626,,6.4045527,6.4166626,6.4166626,6.8011527,2.005208333,0.3807419,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
T-shirt,11,11,0,2.005208333,0.4252303,,,,,,,,,,,,0,11,11,7,,,,,6.8220563,,6.8096765,6.8220563,6.8220563,7.2507234,2.005208333,0.4252303,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
Laptop,12,12,0,2.005208333,0.4119781,,,,,,,,,,,,0,12,12,5,,,,,7.2680565,,7.2568791,7.2680565,7.2680565,7.6840311,2.005208333,0.4119781,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
Pastry,13,13,0,2.005208333,0.4640682,,,,,,,,,,,,0,13,13,9,,,,,7.6995023,,7.6879584,7.6995023,7.6995023,8.1674993,2.005208333,0.4640682,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
Poster,14,14,0,2.005208333,0.4131004,,,,,,,,,,,,0,14,14,14,,,,,8.1828259,,8.1714461,8.1828259,8.1828259,8.6007583,2.005208333,0.4131004,,,,,,,,,,,,,,,874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,0,0,0,,,_ru_is_,Cruise,old,"marble
","[-0.24869791666666666, -0.032552083333333336]","[-0.29296875, -0.3151041666666667]","[1, 1]","[0, 0]","[0, 0]","[0.25712449999991804, 4.606135099999847]","[None, 'text_3']",,,,,0,0,0,6,8.6206661,,,,,,,,8.6106259,8.6206661,8.6206661,8.6206661,0.0098641,13.2176716,"marble
","[-0.24869791666666666, -0.032552083333333336]","[-0.29296875, -0.3151041666666667]","[1, 1]","[0, 0]","[0, 0]","[0.25712449999991804, 4.606135099999847]","[None, 'text_3']",874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,1,1,0,,,P_st_r,Poster ,old,book,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.3777587999998104],['text_3'],,,,,0,1,1,9,13.235822,,,,,,,,13.2225319,13.235822,13.235822,13.235822,0.0045994,16.6013712,book,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.3777587999998104],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,2,2,0,,,ta_l_,Table,new,table,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.6101948999998967],['text_3'],,,,,0,2,2,15,16.6198018,,,,,,,,16.6061994,16.6198018,16.6198018,16.6198018,0.0046516,19.2172309,table,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.6101948999998967],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
