study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Pastry,0,0,0,1.989583333,1.5497631,,,,,,,,,,,,0,0,0,9,,,,,0.0666414,,0.0195473,0.0666414,0.0666414,1.5850893,1.989583333,1.5497631,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
Police ,1,1,0,1.989583333,0.645672,,,,,,,,,,,,0,1,1,12,,,,,1.6025933,,1.5908787,1.6025933,1.6025933,2.2516513,1.989583333,0.645672,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
board,2,2,0,1.989583333,0.5789549,,,,,,,,,,,,0,2,2,4,,,,,2.267428,,2.256847,2.267428,2.267428,2.8522417,1.989583333,0.5789549,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
Keys,3,3,0,1.989583333,0.5768102,,,,,,,,,,,,0,3,3,13,,,,,2.8694724,,2.8587712,2.8694724,2.8694724,3.4512432,1.989583333,0.5768102,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
Poster,4,4,0,1.989583333,0.5798198,,,,,,,,,,,,0,4,4,14,,,,,3.4665569,,3.4551796,3.4665569,3.4665569,4.0511657,1.989583333,0.5798198,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
Case,5,5,0,1.989583333,0.5634144,,,,,,,,,,,,0,5,5,10,,,,,4.0663606,,4.0548229,4.0663606,4.0663606,4.6350009,1.989583333,0.5634144,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
marble,6,6,0,1.989583333,0.5786684,,,,,,,,,,,,0,6,6,3,,,,,4.6539289,,4.6404702,4.6539289,4.6539289,5.2344004,1.989583333,0.5786684,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
book,7,7,0,1.989583333,0.548583,,,,,,,,,,,,0,7,7,0,,,,,5.2498416,,5.2376392,5.2498416,5.2498416,5.8019778,1.989583333,0.548583,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
Crusie,8,8,0,1.989583333,0.5120229,,,,,,,,,,,,0,8,8,11,,,,,5.819813,,5.8069525,5.819813,5.819813,6.3352488,1.989583333,0.5120229,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
phone ,9,9,0,1.989583333,0.5076532,,,,,,,,,,,,0,9,9,2,,,,,6.3551168,,6.3442134,6.3551168,6.3551168,6.8680407,1.989583333,0.5076532,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
Chart,10,10,0,1.989583333,0.5956218,,,,,,,,,,,,0,10,10,6,,,,,6.8866765,,6.8732162,6.8866765,6.8866765,7.4842783,1.989583333,0.5956218,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
T-shirt,11,11,0,1.989583333,0.5942394,,,,,,,,,,,,0,11,11,7,,,,,7.5026835,,7.4912221,7.5026835,7.5026835,8.1017832,1.989583333,0.5942394,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
mouse,12,12,0,1.989583333,0.61181,,,,,,,,,,,,0,12,12,8,,,,,8.1210159,,8.1070568,8.1210159,8.1210159,8.7345649,1.989583333,0.61181,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
Laptop,13,13,0,1.989583333,0.5460418,,,,,,,,,,,,0,13,13,5,,,,,8.7499868,,8.7396405,8.7499868,8.7499868,9.3011718,1.989583333,0.5460418,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
cushion,14,14,0,1.989583333,0.5283635,,,,,,,,,,,,0,14,14,1,,,,,9.3175156,,9.3063399,9.3175156,9.3175156,9.85064,1.989583333,0.5283635,,,,,,,,,,,,,,,286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,0,0,0,,,_a_bl_,Marble,old,table,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.0076929000001655],['text_3'],,,,,0,0,0,11,9.871589,,,,,,,,9.859549,9.871589,9.871589,9.871589,0.0089175,13.8682095,table,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.0076929000001655],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,1,1,0,,,_ru_is_,Cruise,old,cruise,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.9604370000001836],['text_3'],,,,,0,1,1,6,13.8864384,,,,,,,,13.8731963,13.8864384,13.8864384,13.8864384,0.0048043,17.8346985,cruise,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.9604370000001836],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,2,2,0,,,K_y_,Keys,old,keys,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.9445651999999427],['text_3'],,,,,0,2,2,8,17.8525675,,,,,,,,17.8388835,17.8525675,17.8525675,17.8525675,0.0040026,20.7844799,keys,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.9445651999999427],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,3,3,0,,,P_li_e,Police,old,police,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.261124500000278],['text_3'],,,,,0,3,3,7,20.8027887,,,,,,,,20.7888597,20.8027887,20.8027887,20.8027887,0.0042019,24.0509846,police,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.261124500000278],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,4,4,0,,,T_hi_t,Tshirt,old,tshirt,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.4440952999998444],['text_3'],,,,,0,4,4,2,24.0704435,,,,,,,,24.0557979,24.0704435,24.0704435,24.0704435,0.0046401,27.5009173,tshirt,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.4440952999998444],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,5,5,0,,,_ho_e,Phone,old,house,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.759981299999708],['text_3'],,,,,0,5,5,12,27.5187641,,,,,,,,27.5057522,27.5187641,27.5187641,27.5187641,0.0046619,32.2667715,house,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.759981299999708],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,6,6,0,,,bo_t_e,Bottle,new,bottle,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[5.4943200000002435],['text_3'],,,,,0,6,6,18,32.2861127,,,,,,,,32.2711931,32.2861127,32.2861127,32.2861127,0.0042374,37.76655,bottle,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[5.4943200000002435],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,7,7,0,,,c_s_io,Cushion,old,casio,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.3941257999999834],['text_3'],,,,,0,7,7,14,37.7837453,,,,,,,,37.7714076,37.7837453,37.7837453,37.7837453,0.0046781,41.1665868,casio,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.3941257999999834],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,8,8,0,,,_o_rd,Board,old,board,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.544017299999723],['text_3'],,,,,0,8,8,10,41.1861673,,,,,,,,41.1712538,41.1861673,41.1861673,41.1861673,0.00448,45.716293,board,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.544017299999723],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,9,9,0,,,_ou_se,mouse,old,house,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.077188599999772],['text_3'],,,,,0,9,9,3,45.7350147,,,,,,,,45.7210174,45.7350147,45.7350147,45.7350147,0.004551,48.7992623,house,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.077188599999772],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,10,10,0,,,c_s_,Case,old,case,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.810917299999801],['text_3'],,,,,0,10,10,5,48.8173011,,,,,,,,48.8036071,48.8173011,48.8173011,48.8173011,0.0041656,51.6156318,case,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.810917299999801],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,11,11,0,,,p_nc_l,Pencil,new,pencil,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.7772783000000345],['text_3'],,,,,0,11,11,16,51.6337517,,,,,,,,51.6201064,51.6337517,51.6337517,51.6337517,0.0042991,54.3984438,pencil,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.7772783000000345],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,12,12,0,,,_oo_,Book ,old,look,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.9782168000001548],['text_3'],,,,,0,12,12,13,54.4162063,,,,,,,,54.4025777,54.4162063,54.4162063,54.4162063,0.0039627,58.3818673,look,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.9782168000001548],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,13,13,0,,,c_m_ra,Camera,new,camera,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.6272641000000476],['text_3'],,,,,0,13,13,19,58.4009376,,,,,,,,58.3870658,58.4009376,58.4009376,58.4009376,0.0050251,62.0154605,camera,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.6272641000000476],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,14,14,0,,,P_as_tr_,Pastry,old,pastry,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.0265957999999955],['text_3'],,,,,0,14,14,4,62.0342505,,,,,,,,62.0203222,62.0342505,62.0342505,62.0342505,0.0046725,66.0480063,pastry,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.0265957999999955],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,15,15,0,,,P_st_r,Poster ,old,poster,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.9942408000001706],['text_3'],,,,,0,15,15,9,66.0671362,,,,,,,,66.0528918,66.0671362,66.0671362,66.0671362,0.0047106,69.0483135,poster,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[2.9942408000001706],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,16,16,0,,,_ha_,Chart,old,chart,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.927127600000404],['text_3'],,,,,0,16,16,1,69.0775025,,,,,,,,69.0528155,69.0775025,69.0775025,69.0775025,0.0043152,73.9809979,chart,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.927127600000404],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,17,17,0,,,l_pt_p,Laptop,old,laptop,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.4603989000002002],['text_3'],,,,,0,17,17,0,73.9988565,,,,,,,,73.9854664,73.9988565,73.9988565,73.9988565,0.0042911,77.44709,laptop,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.4603989000002002],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,18,18,0,,,v_s_,Vase,new,vise,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.308851300000242],['text_3'],,,,,0,18,18,17,77.4671566,,,,,,,,77.4538754,77.4671566,77.4671566,77.4671566,0.0065897,81.7639626,vise,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[4.308851300000242],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,19,19,0,,,ta_l_,Table,new,table,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.393096599999808],['text_3'],,,,,0,19,19,15,81.7825374,,,,,,,,81.7689655,81.7825374,81.7825374,81.7825374,0.0048125,85.1632027,table,[-0.09635416666666667],[-0.2994791666666667],[1],[0],[0],[3.393096599999808],['text_3'],286480,1,2024-11-06_22h27.51.398,Word priming,2024.2.4,59.84222,2024-11-06 22h28.00.337912 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,old,10,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,new,4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
