study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Crusie,10,10,0,1.958333333,0.6133419,,,,,,,,,,,,0,10,10,11,,,,,7.6021341,,7.5911612,7.6021341,7.6021341,8.2203502,1.958333333,0.6133419,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
Chart,11,11,0,1.958333333,0.6137285,,,,,,,,,,,,0,11,11,6,,,,,8.2354377,,8.2246939,8.2354377,8.2354377,8.853868,1.958333333,0.6137285,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
phone ,12,12,0,1.958333333,0.6270297,,,,,,,,,,,,0,12,12,2,,,,,8.875088,,8.8612347,8.875088,8.875088,9.50385,1.958333333,0.6270297,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
marble,13,13,0,1.958333333,0.6794993,,,,,,,,,,,,0,13,13,3,,,,,9.5228961,,9.508813,9.5228961,9.5228961,10.2038053,1.958333333,0.6794993,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
Laptop,14,14,0,1.958333333,1.7758545,,,,,,,,,,,,0,14,14,5,,,,,10.2253497,,10.2114088,10.2253497,10.2253497,12.0032985,1.958333333,1.7758545,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,0,0,0,,,_ho_e,Phone,old,phone,[-0.125],[-0.30078125],[1],[0],[0],[4.779131499999949],['text_3'],,,,,0,0,0,12,12.0485995,,,,,,,,12.0236689,12.0485995,12.0485995,12.0485995,0.0203997,16.8038324,phone,[-0.125],[-0.30078125],[1],[0],[0],[4.779131499999949],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,1,1,0,,,v_s_,Vase,new,vase,[-0.125],[-0.30078125],[1],[0],[0],[2.5914858000001004],['text_3'],,,,,0,1,1,17,16.8242435,,,,,,,,16.8108983,16.8242435,16.8242435,16.8242435,0.0068759,19.4033912,vase,[-0.125],[-0.30078125],[1],[0],[0],[2.5914858000001004],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,2,2,0,,,_ha_,Chart,old,chart,[-0.125],[-0.30078125],[1],[0],[0],[3.9112145999997665],['text_3'],,,,,0,2,2,1,19.4221875,,,,,,,,19.4075786,19.4221875,19.4221875,19.4221875,0.0040092,23.3198152,chart,[-0.125],[-0.30078125],[1],[0],[0],[3.9112145999997665],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,3,3,0,,,_ru_is_,Cruise,old,cruise,[-0.125],[-0.30078125],[1],[0],[0],[3.111037600000145],['text_3'],,,,,0,3,3,6,23.3387016,,,,,,,,23.3243612,23.3387016,23.3387016,23.3387016,0.0043568,26.4364336,cruise,[-0.125],[-0.30078125],[1],[0],[0],[3.111037600000145],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,4,4,0,,,c_s_io,Cushion,old,cushion,[-0.125],[-0.30078125],[1],[0],[0],[3.6433639000001676],['text_3'],,,,,0,4,4,14,26.4559375,,,,,,,,26.4413944,26.4559375,26.4559375,26.4559375,0.0047837,30.0857661,cushion,[-0.125],[-0.30078125],[1],[0],[0],[3.6433639000001676],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,5,5,0,,,_o_rd,Board,old,board,[-0.125],[-0.30078125],[1],[0],[0],[2.7446859000001496],['text_3'],,,,,0,5,5,10,30.1055569,,,,,,,,30.0904457,30.1055569,30.1055569,30.1055569,0.0044978,32.8361763,board,[-0.125],[-0.30078125],[1],[0],[0],[2.7446859000001496],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,6,6,0,,,_ou_se,mouse,old,mouse,[-0.125],[-0.30078125],[1],[0],[0],[4.593603799999983],['text_3'],,,,,0,6,6,3,32.8543806,,,,,,,,32.8407436,32.8543806,32.8543806,32.8543806,0.0043935,37.4353053,mouse,[-0.125],[-0.30078125],[1],[0],[0],[4.593603799999983],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,7,7,0,,,l_pt_p,Laptop,old,laptop,[-0.125],[-0.30078125],[1],[0],[0],[3.627500600000076],['text_3'],,,,,0,7,7,0,37.4535696,,,,,,,,37.4397353,37.4535696,37.4535696,37.4535696,0.0042479,41.0682956,laptop,[-0.125],[-0.30078125],[1],[0],[0],[3.627500600000076],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,8,8,0,,,p_nc_l,Pencil,new,pencil,[-0.125],[-0.30078125],[1],[0],[0],[3.4615481000000727],['text_3'],,,,,0,8,8,16,41.0870723,,,,,,,,41.073019,41.0870723,41.0870723,41.0870723,0.0045469,44.5357244,pencil,[-0.125],[-0.30078125],[1],[0],[0],[3.4615481000000727],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,9,9,0,,,T_hi_t,Tshirt,old,tshirt,[-0.125],[-0.30078125],[1],[0],[0],[2.7605367999999544],['text_3'],,,,,0,9,9,2,44.5544636,,,,,,,,44.5402589,44.5544636,44.5544636,44.5544636,0.0042975,47.3018451,tshirt,[-0.125],[-0.30078125],[1],[0],[0],[2.7605367999999544],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,10,10,0,,,ta_l_,Table,new,table,[-0.125],[-0.30078125],[1],[0],[0],[3.344714699999713],['text_3'],,,,,0,10,10,15,47.321255,,,,,,,,47.306233,47.321255,47.321255,47.321255,0.0042113,50.652115,table,[-0.125],[-0.30078125],[1],[0],[0],[3.344714699999713],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,11,11,0,,,P_st_r,Poster ,old,poster,[-0.125],[-0.30078125],[1],[0],[0],[2.842604299999948],['text_3'],,,,,0,11,11,9,50.6727128,,,,,,,,50.657668,50.6727128,50.6727128,50.6727128,0.0053379,53.5015373,poster,[-0.125],[-0.30078125],[1],[0],[0],[2.842604299999948],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,12,12,0,,,c_m_ra,Camera,new,camera,[-0.125],[-0.30078125],[1],[0],[0],[2.7106724000000213],['text_3'],,,,,0,12,12,19,53.5204717,,,,,,,,53.5059088,53.5204717,53.5204717,53.5204717,0.0041845,56.2175838,camera,[-0.125],[-0.30078125],[1],[0],[0],[2.7106724000000213],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,13,13,0,,,bo_t_e,Bottle,new,bottle,[-0.125],[-0.30078125],[1],[0],[0],[2.6287430999996104],['text_3'],,,,,0,13,13,18,56.2341509,,,,,,,,56.2213322,56.2341509,56.2341509,56.2341509,0.0036284,58.8512271,bottle,[-0.125],[-0.30078125],[1],[0],[0],[2.6287430999996104],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,14,14,0,,,_a_bl_,Marble,old,table,[-0.125],[-0.30078125],[1],[0],[0],[3.192654699999821],['text_3'],,,,,0,14,14,11,58.8700752,,,,,,,,58.8563332,58.8700752,58.8700752,58.8700752,0.0049336,62.0500783,table,[-0.125],[-0.30078125],[1],[0],[0],[3.192654699999821],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,15,15,0,,,c_s_,Case,old,case,[-0.125],[-0.30078125],[1],[0],[0],[3.5276960000001054],['text_3'],,,,,0,15,15,5,62.0694798,,,,,,,,62.0549723,62.0694798,62.0694798,62.0694798,0.0046701,65.5837784,case,[-0.125],[-0.30078125],[1],[0],[0],[3.5276960000001054],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,16,16,0,,,K_y_,Keys,old,keys,[-0.125],[-0.30078125],[1],[0],[0],[2.26159430000007],['text_3'],,,,,0,16,16,8,65.6023788,,,,,,,,65.5879184,65.6023788,65.6023788,65.6023788,0.0039616,67.8506482,keys,[-0.125],[-0.30078125],[1],[0],[0],[2.26159430000007],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,17,17,0,,,P_as_tr_,Pastry,old,pastry,[-0.125],[-0.30078125],[1],[0],[0],[3.06035219999967],['text_3'],,,,,0,17,17,4,67.86914,,,,,,,,67.8557172,67.86914,67.86914,67.86914,0.0048811,70.9171648,pastry,[-0.125],[-0.30078125],[1],[0],[0],[3.06035219999967],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,18,18,0,,,_oo_,Book ,old,book,[-0.125],[-0.30078125],[1],[0],[0],[2.3103374000002077],['text_3'],,,,,0,18,18,13,70.9352775,,,,,,,,70.9216598,70.9352775,70.9352775,70.9352775,0.0043214,73.2329045,book,[-0.125],[-0.30078125],[1],[0],[0],[2.3103374000002077],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,19,19,0,,,P_li_e,Police,old,police,[-0.06901041666666667],[-0.30078125],[1],[0],[0],[4.0125067999997555],['text_3'],,,,,0,19,19,7,73.2484132,,,,,,,,73.2361432,73.2484132,73.2484132,73.2484132,0.0030995,77.2496973,police,[-0.06901041666666667],[-0.30078125],[1],[0],[0],[4.0125067999997555],['text_3'],785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,old,14,0.933333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,new,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,priming,-0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
