study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
board,0,0,0,1.994791667,1.0907273,,,,,,,,,,,,0,0,0,4,,,,,0.0420631,,0.011522,0.0420631,0.0420631,1.1172735,1.994791667,1.0907273,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
phone ,1,1,0,1.994791667,0.6432139,,,,,,,,,,,,0,1,1,2,,,,,1.132462,,1.1242131,1.132462,1.132462,1.7842692,1.994791667,0.6432139,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
Poster,2,2,0,1.994791667,0.6276346,,,,,,,,,,,,0,2,2,14,,,,,1.800373,,1.7909847,1.800373,1.800373,2.4342513,1.994791667,0.6276346,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
Laptop,3,3,0,1.994791667,0.6445834,,,,,,,,,,,,0,3,3,5,,,,,2.4531744,,2.4402072,2.4531744,2.4531744,3.1009304,1.994791667,0.6445834,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
T-shirt,4,4,0,1.994791667,0.5089779,,,,,,,,,,,,0,4,4,7,,,,,3.1189027,,3.1087641,3.1189027,3.1189027,3.6342116,1.994791667,0.5089779,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
book,5,5,0,1.994791667,0.4117155,,,,,,,,,,,,0,5,5,0,,,,,3.6527105,,3.6390701,3.6527105,3.6527105,4.0671284,1.994791667,0.4117155,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
Police ,6,6,0,1.994791667,0.3959782,,,,,,,,,,,,0,6,6,12,,,,,4.0849056,,4.0718993,4.0849056,4.0849056,4.4839296,1.994791667,0.3959782,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
Keys,7,7,0,1.994791667,0.4118413,,,,,,,,,,,,0,7,7,13,,,,,4.4999963,,4.4900533,4.4999963,4.4999963,4.9176174,1.994791667,0.4118413,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
Pastry,8,8,0,1.994791667,0.4618394,,,,,,,,,,,,0,8,8,9,,,,,4.9366894,,4.9226922,4.9366894,4.9366894,5.400576,1.994791667,0.4618394,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
mouse,9,9,0,1.994791667,0.4800156,,,,,,,,,,,,0,9,9,8,,,,,5.415457,,5.4045873,5.415457,5.415457,5.9007404,1.994791667,0.4800156,,,,,,,,,,,,,,,498357,1,2024-11-06_22h35.48.808,Word priming,2024.2.4,60.11689128,2024-11-06 22h35.54.342383 +0530
