study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Police ,0,0,0,1.989583333,1.6341035,,,,,,,,,,,,0,0,0,12,,,,,0.0416762,,0.0114339,0.0416762,0.0416762,1.6620646,1.989583333,1.6341035,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
phone ,1,1,0,1.989583333,0.6741139,,,,,,,,,,,,0,1,1,2,,,,,1.6848739,,1.6713545,1.6848739,1.6848739,2.3613489,1.989583333,0.6741139,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
T-shirt,2,2,0,1.989583333,0.523654,,,,,,,,,,,,0,2,2,7,,,,,2.3836115,,2.3716502,2.3836115,2.3836115,2.9113134,1.989583333,0.523654,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
Keys,3,3,0,1.989583333,0.4752957,,,,,,,,,,,,0,3,3,13,,,,,2.9320697,,2.9191607,2.9320697,2.9320697,3.4112593,1.989583333,0.4752957,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
cushion,4,4,0,1.989583333,0.4292927,,,,,,,,,,,,0,4,4,1,,,,,3.4298893,,3.4162138,3.4298893,3.4298893,3.8613052,1.989583333,0.4292927,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
book,5,5,0,1.989583333,0.4288854,,,,,,,,,,,,0,5,5,0,,,,,3.877395,,3.8661874,3.877395,3.877395,4.3110334,1.989583333,0.4288854,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
marble,6,6,0,1.989583333,0.4950564,,,,,,,,,,,,0,6,6,3,,,,,4.3301528,,4.3176154,4.3301528,4.3301528,4.8283128,1.989583333,0.4950564,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
Pastry,7,7,0,1.989583333,0.5786999,,,,,,,,,,,,0,7,7,9,,,,,4.8474459,,4.8334273,4.8474459,4.8474459,5.4280183,1.989583333,0.5786999,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
Crusie,8,8,0,1.989583333,0.579867,,,,,,,,,,,,0,8,8,11,,,,,5.4432194,,5.4322035,5.4432194,5.4432194,6.0278088,1.989583333,0.579867,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
board,9,9,0,1.989583333,0.5764785,,,,,,,,,,,,0,9,9,4,,,,,6.0457334,,6.0351004,6.0457334,6.0457334,6.6273896,1.989583333,0.5764785,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
mouse,10,10,0,1.989583333,0.564894,,,,,,,,,,,,0,10,10,8,,,,,6.6427636,,6.6309129,6.6427636,6.6427636,7.2117112,1.989583333,0.564894,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
Case,11,11,0,1.989583333,0.6124511,,,,,,,,,,,,0,11,11,10,,,,,7.2303792,,7.2165584,7.2303792,7.2303792,7.8448696,1.989583333,0.6124511,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
Laptop,12,12,0,1.989583333,0.593267,,,,,,,,,,,,0,12,12,5,,,,,7.8632419,,7.8519043,7.8632419,7.8632419,8.4615175,1.989583333,0.593267,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
Poster,13,13,0,1.989583333,0.5792384,,,,,,,,,,,,0,13,13,14,,,,,8.4796093,,8.466532,8.4796093,8.4796093,9.0614251,1.989583333,0.5792384,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
Chart,14,14,0,1.989583333,0.6120772,,,,,,,,,,,,0,14,14,6,,,,,9.0797183,,9.0663644,9.0797183,9.0797183,9.6943748,1.989583333,0.6120772,,,,,,,,,,,,,,,962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,0,0,0,,,K_y_,Keys,old,Keys,"[-0.2526041666666667, 0.06901041666666667, 0.05078125]","[-0.2903645833333333, -0.00390625, -0.2981770833333333]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3567377999997916, 1.6066390000000865, 4.606952499999807]","[None, None, 'text_3']",,,,,0,0,0,8,9.7163279,,,,,,,,9.703547,9.7163279,9.7163279,9.7163279,0.0091811,14.3114438,Keys,"[-0.2526041666666667, 0.06901041666666667, 0.05078125]","[-0.2903645833333333, -0.00390625, -0.2981770833333333]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3567377999997916, 1.6066390000000865, 4.606952499999807]","[None, None, 'text_3']",962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,1,1,0,,,_ha_,Chart,old,happy,[0.05078125],[-0.2981770833333333],[1],[0],[0],[5.627944500000012],['text_3'],,,,,0,1,1,1,14.3299785,,,,,,,,14.3156539,14.3299785,14.3299785,14.3299785,0.0039261,19.9446959,happy,[0.05078125],[-0.2981770833333333],[1],[0],[0],[5.627944500000012],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,2,2,0,,,P_li_e,Police,old,police,[0.05078125],[-0.2981770833333333],[1],[0],[0],[4.292123100000026],['text_3'],,,,,0,2,2,7,19.9626686,,,,,,,,19.9505419,19.9626686,19.9626686,19.9626686,0.0055835,24.2436073,police,[0.05078125],[-0.2981770833333333],[1],[0],[0],[4.292123100000026],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,3,3,0,,,_a_bl_,Marble,old,table,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.7602429999997184],['text_3'],,,,,0,3,3,11,24.2623939,,,,,,,,24.2484311,24.2623939,24.2623939,24.2623939,0.0046409,28.0097448,table,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.7602429999997184],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,4,4,0,,,_o_rd,Board,old,chord,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.7277971999997135],['text_3'],,,,,0,4,4,10,28.0284156,,,,,,,,28.0144742,28.0284156,28.0284156,28.0284156,0.0045526,31.7434625,chord,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.7277971999997135],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,5,5,0,,,_ru_is_,Cruise,old,cruise,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.1103094999998575],['text_3'],,,,,0,5,5,6,31.7621141,,,,,,,,31.7484171,31.7621141,31.7621141,31.7621141,0.0046697,34.8597387,cruise,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.1103094999998575],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,6,6,0,,,_ho_e,Phone,old,phone,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.8428822999999284],['text_3'],,,,,0,6,6,12,34.8786675,,,,,,,,34.8650311,34.8786675,34.8786675,34.8786675,0.0050918,38.7089068,phone,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.8428822999999284],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,7,7,0,,,T_hi_t,Tshirt,old,tshirt,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.578329400000257],['text_3'],,,,,0,7,7,2,38.7270333,,,,,,,,38.7137822,38.7270333,38.7270333,38.7270333,0.004684,42.2932645,tshirt,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.578329400000257],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
,8,8,0,,,P_st_r,Poster ,old,poster,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.9938115999998445],['text_3'],,,,,0,8,8,9,42.3127318,,,,,,,,42.2981031,42.3127318,42.3127318,42.3127318,0.0046543,46.2930517,poster,[0.05078125],[-0.2981770833333333],[1],[0],[0],[3.9938115999998445],['text_3'],962315,1,2024-11-06_22h31.52.388,Word priming,2024.2.4,59.92588367,2024-11-06 22h31.59.112415 +0530
